Date,Expenses,Category,Amount,Municipality,Province,Region,ID,Transaction vs category,Transaction,GL code
2/8/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-70,2. Transportation - 66501,Transportation,66501
2/9/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-71,2. Transportation - 66501,Transportation,66501
2/9/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-72,2. Transportation - 66501,Transportation,66501
2/9/2020,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-73,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/10/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-74,2. Transportation - 66501,Transportation,66501
2/10/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-75,2. Transportation - 66501,Transportation,66501
2/11/2020,Eating/Going Out,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-76,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/11/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-77,2. Transportation - 66501,Transportation,66501
2/11/2020,Grocery,Survival,75.0,Quezon City,Metro Manila,National Capital Region,E2020-78,4. Grocery - 694835,Grocery,694835
2/11/2020,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-79,7. Phone/Internet - 65009,Phone/Internet,65009
2/11/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-80,2. Transportation - 66501,Transportation,66501
2/12/2020,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-81,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/12/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-82,2. Transportation - 66501,Transportation,66501
2/12/2020,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-83,2. Transportation - 66501,Transportation,66501
2/13/2020,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-84,2. Transportation - 66501,Transportation,66501
2/13/2020,Eating/Going Out,Optional,487.0,Quezon City,Metro Manila,National Capital Region,E2020-85,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/13/2020,Hair Cut,Survival,50.0,Quezon City,Metro Manila,National Capital Region,E2020-86,10. Hair Cut - 60000-030,Hair Cut,60000-030
2/14/2020,Transportation,Survival,157.0,Quezon City,Metro Manila,National Capital Region,E2020-87,2. Transportation - 66501,Transportation,66501
2/14/2020,Eating/Going Out,Optional,170.0,Quezon City,Metro Manila,National Capital Region,E2020-88,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/14/2020,Grocery,Survival,965.9,Quezon City,Metro Manila,National Capital Region,E2020-89,4. Grocery - 694835,Grocery,694835
2/15/2020,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-90,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/16/2020,Transportation,Optional,40.0,Quezon City,Metro Manila,National Capital Region,E2020-91,2. Transportation - 66501,Transportation,66501
2/16/2020,Eating/Going Out,Optional,245.0,Quezon City,Metro Manila,National Capital Region,E2020-92,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/17/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-93,2. Transportation - 66501,Transportation,66501
2/17/2020,Grocery,Survival,179.25,Quezon City,Metro Manila,National Capital Region,E2020-94,4. Grocery - 694835,Grocery,694835
2/17/2020,Transportation,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-95,2. Transportation - 66501,Transportation,66501
2/18/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-96,2. Transportation - 66501,Transportation,66501
2/18/2020,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-97,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/18/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-98,2. Transportation - 66501,Transportation,66501
2/18/2020,Home,Obligation,200.0,Quezon City,Metro Manila,National Capital Region,E2020-99,5. Home - 694835,Home,694835
2/19/2020,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-100,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/19/2020,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-101,7. Phone/Internet - 65009,Phone/Internet,65009
2/19/2020,Grocery,Survival,63.25,Quezon City,Metro Manila,National Capital Region,E2020-102,4. Grocery - 694835,Grocery,694835
2/19/2020,Clothing/Shoes/Personal Items,Optional,665.15,Quezon City,Metro Manila,National Capital Region,E2020-103,8. Clothing/Shoes/Personal Items - 60000-010,Clothing/Shoes/Personal Items,60000-010
2/20/2020,Food/Drinks,Optional,175.0,Quezon City,Metro Manila,National Capital Region,E2020-104,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/20/2020,Eating/Going Out,Optional,59.0,Quezon City,Metro Manila,National Capital Region,E2020-105,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/20/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-106,2. Transportation - 66501,Transportation,66501
2/20/2020,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-107,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/20/2020,Garbage,Obligation,20.0,Quezon City,Metro Manila,National Capital Region,E2020-108,11. Garbage - 60000-040,Garbage,60000-040
2/21/2020,Electricity/Water,Obligation,366.0,Quezon City,Metro Manila,National Capital Region,E2020-109,6. Electricity/Water - 65009,Electricity/Water,65009
2/21/2020,Food/Drinks,Optional,37.0,Quezon City,Metro Manila,National Capital Region,E2020-110,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/22/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-111,2. Transportation - 66501,Transportation,66501
2/23/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-112,2. Transportation - 66501,Transportation,66501
2/23/2020,Grocery,Survival,135.0,Quezon City,Metro Manila,National Capital Region,E2020-113,4. Grocery - 694835,Grocery,694835
2/23/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-114,2. Transportation - 66501,Transportation,66501
2/23/2020,Food/Drinks,Optional,3.0,Quezon City,Metro Manila,National Capital Region,E2020-115,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/24/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-116,2. Transportation - 66501,Transportation,66501
2/24/2020,Food/Drinks,Survival,20.0,Quezon City,Metro Manila,National Capital Region,E2020-117,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/24/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-118,2. Transportation - 66501,Transportation,66501
2/25/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-119,2. Transportation - 66501,Transportation,66501
2/25/2020,Grocery,Survival,80.68,Quezon City,Metro Manila,National Capital Region,E2020-120,4. Grocery - 694835,Grocery,694835
2/25/2020,Transportation,Survival,45.0,Quezon City,Metro Manila,National Capital Region,E2020-121,2. Transportation - 66501,Transportation,66501
2/26/2020,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-122,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/26/2020,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-123,7. Phone/Internet - 65009,Phone/Internet,65009
2/26/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-124,2. Transportation - 66501,Transportation,66501
2/27/2020,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-125,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/27/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-126,2. Transportation - 66501,Transportation,66501
2/27/2020,Grocery,Survival,278.41,Quezon City,Metro Manila,National Capital Region,E2020-127,4. Grocery - 694835,Grocery,694835
2/28/2020,Transportation,Survival,19.0,Quezon City,Metro Manila,National Capital Region,E2020-128,2. Transportation - 66501,Transportation,66501
2/28/2020,Grocery,Survival,1055.0,Quezon City,Metro Manila,National Capital Region,E2020-129,4. Grocery - 694835,Grocery,694835
2/28/2020,Electricity/Water,Obligation,130.68,Quezon City,Metro Manila,National Capital Region,E2020-130,6. Electricity/Water - 65009,Electricity/Water,65009
2/29/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-131,2. Transportation - 66501,Transportation,66501
3/1/2020,Eating/Going Out,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-132,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/1/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-133,2. Transportation - 66501,Transportation,66501
3/1/2020,Transportation,Survival,53.0,Quezon City,Metro Manila,National Capital Region,E2020-134,2. Transportation - 66501,Transportation,66501
3/2/2020,Eating/Going Out,Optional,150.0,Quezon City,Metro Manila,National Capital Region,E2020-135,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/2/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-136,2. Transportation - 66501,Transportation,66501
3/2/2020,Transportation,Survival,51.0,Quezon City,Metro Manila,National Capital Region,E2020-137,2. Transportation - 66501,Transportation,66501
3/3/2020,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-138,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/3/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-139,2. Transportation - 66501,Transportation,66501
3/3/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-140,2. Transportation - 66501,Transportation,66501
3/4/2020,Eating/Going Out,Optional,118.0,Quezon City,Metro Manila,National Capital Region,E2020-141,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/4/2020,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-142,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/4/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-143,2. Transportation - 66501,Transportation,66501
3/4/2020,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-144,7. Phone/Internet - 65009,Phone/Internet,65009
3/4/2020,Grocery,Survival,105.6,Quezon City,Metro Manila,National Capital Region,E2020-145,4. Grocery - 694835,Grocery,694835
3/5/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-146,2. Transportation - 66501,Transportation,66501
3/5/2020,Eating/Going Out,Optional,86.0,Quezon City,Metro Manila,National Capital Region,E2020-147,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/5/2020,Grocery,Survival,294.9,Quezon City,Metro Manila,National Capital Region,E2020-148,4. Grocery - 694835,Grocery,694835
3/7/2020,Food/Drinks,Optional,45.0,Quezon City,Metro Manila,National Capital Region,E2020-149,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/7/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-150,2. Transportation - 66501,Transportation,66501
3/8/2020,Eating/Going Out,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-151,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/8/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-152,2. Transportation - 66501,Transportation,66501
3/8/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-153,2. Transportation - 66501,Transportation,66501
3/9/2020,Food/Drinks,Optional,129.0,Quezon City,Metro Manila,National Capital Region,E2020-154,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/9/2020,Transportation,Survival,53.0,Quezon City,Metro Manila,National Capital Region,E2020-155,2. Transportation - 66501,Transportation,66501
3/9/2020,Clothing/Shoes/Personal Items,Optional,178.0,Quezon City,Metro Manila,National Capital Region,E2020-156,8. Clothing/Shoes/Personal Items - 60000-010,Clothing/Shoes/Personal Items,60000-010
3/9/2020,Transportation,Survival,52.0,Quezon City,Metro Manila,National Capital Region,E2020-157,2. Transportation - 66501,Transportation,66501
3/10/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-158,2. Transportation - 66501,Transportation,66501
3/10/2020,Clothing/Shoes/Personal Items,Optional,175.0,Quezon City,Metro Manila,National Capital Region,E2020-159,8. Clothing/Shoes/Personal Items - 60000-010,Clothing/Shoes/Personal Items,60000-010
3/10/2020,Grocery,Survival,116.0,Quezon City,Metro Manila,National Capital Region,E2020-160,4. Grocery - 694835,Grocery,694835
3/10/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-161,2. Transportation - 66501,Transportation,66501
3/11/2020,Grocery,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-162,4. Grocery - 694835,Grocery,694835
3/11/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-163,2. Transportation - 66501,Transportation,66501
3/11/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-164,2. Transportation - 66501,Transportation,66501
3/12/2020,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-165,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/12/2020,Food/Drinks,Optional,99.0,Quezon City,Metro Manila,National Capital Region,E2020-166,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/12/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-167,2. Transportation - 66501,Transportation,66501
3/12/2020,Grocery,Survival,87.0,Quezon City,Metro Manila,National Capital Region,E2020-168,4. Grocery - 694835,Grocery,694835
3/12/2020,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-169,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/13/2020,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-170,2. Transportation - 66501,Transportation,66501
3/13/2020,Grocery,Survival,900.0,Quezon City,Metro Manila,National Capital Region,E2020-171,4. Grocery - 694835,Grocery,694835
3/13/2020,Personal care items (drugstore),Survival,827.5,Quezon City,Metro Manila,National Capital Region,E2020-172,12. Personal care items (drugstore) - 60000-050,Personal care items (drugstore),60000-050
3/13/2020,Eating/Going Out,Optional,119.0,Quezon City,Metro Manila,National Capital Region,E2020-173,3. Eating/Going Out - 66503,Eating/Going Out,66503
3/14/2020,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-174,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/15/2020,Transportation,Survival,54.0,Quezon City,Metro Manila,National Capital Region,E2020-175,2. Transportation - 66501,Transportation,66501
3/15/2020,Transportation,Survival,52.0,Quezon City,Metro Manila,National Capital Region,E2020-176,2. Transportation - 66501,Transportation,66501
3/15/2020,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-177,7. Phone/Internet - 65009,Phone/Internet,65009
3/17/2020,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-178,2. Transportation - 66501,Transportation,66501
3/17/2020,Grocery,Survival,650.0,Quezon City,Metro Manila,National Capital Region,E2020-179,4. Grocery - 694835,Grocery,694835
3/18/2020,Phone/Internet,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-180,7. Phone/Internet - 65009,Phone/Internet,65009
3/18/2020,Home,Obligation,200.0,Quezon City,Metro Manila,National Capital Region,E2020-181,5. Home - 694835,Home,694835
3/19/2020,Entertainment/Subscriptions,Optional,159.0,Quezon City,Metro Manila,National Capital Region,E2020-182,13. Entertainment/Subscriptions - 60000-060,Entertainment/Subscriptions,60000-060
3/19/2020,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-183,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/20/2020,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-184,7. Phone/Internet - 65009,Phone/Internet,65009
3/21/2020,Food/Drinks,Optional,45.0,Quezon City,Metro Manila,National Capital Region,E2020-185,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/23/2020,Grocery,Survival,937.35,Quezon City,Metro Manila,National Capital Region,E2020-186,4. Grocery - 694835,Grocery,694835
3/23/2020,Phone/Internet,Optional,103.0,Quezon City,Metro Manila,National Capital Region,E2020-187,7. Phone/Internet - 65009,Phone/Internet,65009
3/26/2020,Food/Drinks,Optional,23.0,Quezon City,Metro Manila,National Capital Region,E2020-188,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/28/2020,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-189,7. Phone/Internet - 65009,Phone/Internet,65009
3/28/2020,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-190,1. Food/Drink/Eating - 66503,Food/Drinks,66503
3/29/2020,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-191,7. Phone/Internet - 65009,Phone/Internet,65009
3/31/2020,Grocery,Survival,958.32,Quezon City,Metro Manila,National Capital Region,E2020-192,4. Grocery - 694835,Grocery,694835
4/1/2020,Entertainment/Subscriptions,Optional,159.0,Quezon City,Metro Manila,National Capital Region,E2020-193,13. Entertainment/Subscriptions - 60000-060,Entertainment/Subscriptions,60000-060
4/1/2020,Food/Drinks,Optional,11.0,Quezon City,Metro Manila,National Capital Region,E2020-194,1. Food/Drink/Eating - 66503,Food/Drinks,66503
4/1/2020,Food/Drinks,Optional,6.0,Quezon City,Metro Manila,National Capital Region,E2020-195,1. Food/Drink/Eating - 66503,Food/Drinks,66503
4/2/2020,Others,Optional,5390.4,Quezon City,Metro Manila,National Capital Region,E2020-196,14. Others - 60000-070,Others,60000-070
4/3/2020,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-197,7. Phone/Internet - 65009,Phone/Internet,65009
